363	SALVATERRA	21	
364	SANTA BÁRBARA DO PARÁ	21	
365	SANTA CRUZ DO ARARI	21	
366	SANTA IZABEL DO PARÁ	21	
367	SANTA LUZIA DO PARÁ	21	
368	SANTA MARIA DAS BARREIRAS	21	
369	SANTA MARIA DO PARÁ	21	
370	SANTANA DO ARAGUAIA	21	
371	SANTARÉM	21	
372	SANTARÉM NOVO	21	
373	SANTO ANTÔNIO DO TAUÁ	21	
374	SÃO CAETANO DE ODIVELAS	21	
375	SÃO DOMINGOS DO ARAGUAIA	21	
376	SÃO DOMINGOS DO CAPIM	21	
377	SÃO FÉLIX DO XINGU	21	
378	SÃO FRANCISCO DO PARÁ	21	
379	SÃO GERALDO DO ARAGUAIA	21	
380	SÃO JOÃO DA PONTA	21	
381	SÃO JOÃO DE PIRABAS	21	
382	SÃO JOÃO DO ARAGUAIA	21	
383	SÃO MIGUEL DO GUAMÁ	21	
384	SÃO SEBASTIÃO DA BOA VISTA	21	
385	SAPUCAIA	21	
386	SENADOR JOSÉ PORFÍRIO	21	
387	SOURE	21	
388	TAILÂNDIA	21	
389	TERRA ALTA	21	
390	TERRA SANTA	21	
391	TOMÉ-AÇU	21	
392	TRACUATEUA	21	
393	TRAIRÃO	21	
394	TUCUMÃ	21	
395	TUCURUÍ	21	
396	ULIANÓPOLIS	21	
397	URUARÁ	21	
398	VIGIA	21	
399	VISEU	21	
400	VITÓRIA DO XINGU	21	
401	XINGUARA	21	
402	SERRA DO NAVIO	12	
403	AMAPÁ	12	
404	PEDRA BRANCA DO AMAPARI	12	
405	CALÇOENE	12	
406	CUTIAS	12	
407	FERREIRA GOMES	12	
408	ITAUBAL	12	
409	LARANJAL DO JARI	12	
410	MACAPÁ	12	
411	MAZAGÃO	12	
412	OIAPOQUE	12	
413	PORTO GRANDE	12	
414	PRACUÚBA	12	
415	SANTANA	12	
416	TARTARUGALZINHO	12	
417	VITÓRIA DO JARI	12	
418	ABREULÂNDIA	29	
419	AGUIARNÓPOLIS	29	
420	ALIANÇA DO TOCANTINS	29	
421	ALMAS	29	
422	ALVORADA	29	
423	ANANÁS	29	
424	ANGICO	29	
425	APARECIDA DO RIO NEGRO	29	
426	ARAGOMINAS	29	
427	ARAGUACEMA	29	
428	ARAGUAÇU	29	
429	ARAGUAÍNA	29	
430	ARAGUANÃ	29	
431	ARAGUATINS	29	
432	ARAPOEMA	29	
433	ARRAIAS	29	
434	AUGUSTINÓPOLIS	29	
435	AURORA DO TOCANTINS	29	
436	AXIXÁ DO TOCANTINS	29	
437	BABAÇULÂNDIA	29	
438	BANDEIRANTES DO TOCANTINS	29	
439	BARRA DO OURO	29	
440	BARROLÂNDIA	29	
441	BERNARDO SAYÃO	29	
442	BOM JESUS DO TOCANTINS	29	
443	BRASILÂNDIA DO TOCANTINS	29	
444	BREJINHO DE NAZARÉ	29	
445	BURITI DO TOCANTINS	29	
446	CACHOEIRINHA	29	
447	CAMPOS LINDOS	29	
448	CARIRI DO TOCANTINS	29	
449	CARMOLÂNDIA	29	
450	CARRASCO BONITO	29	
451	CASEARA	29	
452	CENTENÁRIO	29	
453	CHAPADA DE AREIA	29	
454	CHAPADA DA NATIVIDADE	29	
455	COLINAS DO TOCANTINS	29	
456	COMBINADO	29	
457	CONCEIÇÃO DO TOCANTINS	29	
458	COUTO MAGALHÃES	29	
459	CRISTALÂNDIA	29	
460	CRIXÁS DO TOCANTINS	29	
461	DARCINÓPOLIS	29	
462	DIANÓPOLIS	29	
463	DIVINÓPOLIS DO TOCANTINS	29	
464	DOIS IRMÃOS DO TOCANTINS	29	
465	DUERÉ	29	
466	ESPERANTINA	29	
467	FÁTIMA	29	
468	FIGUEIRÓPOLIS	29	
469	FILADÉLFIA	29	
470	FORMOSO DO ARAGUAIA	29	
471	FORTALEZA DO TABOCÃO	29	
472	GOIANORTE	29	
473	GOIATINS	29	
474	GUARAÍ	29	
475	GURUPI	29	
476	IPUEIRAS	29	
477	ITACAJÁ	29	
478	ITAGUATINS	29	
479	ITAPIRATINS	29	
480	ITAPORÃ DO TOCANTINS	29	
481	JAÚ DO TOCANTINS	29	
482	JUARINA	29	
483	LAGOA DA CONFUSÃO	29	
484	LAGOA DO TOCANTINS	29	
485	LAJEADO	29	
486	LAVANDEIRA	29	
487	LIZARDA	29	
488	LUZINÓPOLIS	29	
489	MARIANÓPOLIS DO TOCANTINS	29	
490	MATEIROS	29	
491	MAURILÂNDIA DO TOCANTINS	29	
492	MIRACEMA DO TOCANTINS	29	
493	MIRANORTE	29	
494	MONTE DO CARMO	29	
495	MONTE SANTO DO TOCANTINS	29	
496	PALMEIRAS DO TOCANTINS	29	
497	MURICILÂNDIA	29	
498	NATIVIDADE	29	
499	NAZARÉ	29	
500	NOVA OLINDA	29	
501	NOVA ROSALÂNDIA	29	
502	NOVO ACORDO	29	
503	NOVO ALEGRE	29	
504	NOVO JARDIM	29	
505	OLIVEIRA DE FÁTIMA	29	
506	PALMEIRANTE	29	
507	PALMEIRÓPOLIS	29	
508	PARAÍSO DO TOCANTINS	29	
509	PARANÃ	29	
